Time;perimeterMag;perimeterMagRight
0;0;0
0.0;104.0;0.0
0.0;860.0;0.0
0.0;-637.0;0.0
0.0;-221.0;0.0
0.0;-2468.0;0.0
0.0;-403.0;0.0
0.0;-418.0;0.0
0.0;-1045.0;0.0
0.0;209.0;0.0
0.0;206.0;0.0
0.0;-2239.0;0.0
0.0;-328.0;0.0
0.0;3163.0;0.0
0.0;-2850.0;0.0
0.0;-273.0;0.0
0.0;2648.0;0.0
0.0;-455.0;0.0
0.0;-36.0;0.0
0.0;-2591.0;0.0
0.0;-1270.0;0.0
0.0;-355.0;0.0
0.0;-874.0;0.0
0.0;-278.0;0.0
0.0;-213.0;0.0
0.0;1642.0;0.0
0.0;-451.0;0.0
0.0;209.0;0.0
0.0;184.0;0.0
0.0;6.0;0.0
0.0;-259.0;0.0
0.0;-593.0;0.0
0.0;-19.0;0.0
0.0;-22.0;0.0
0.0;18.0;0.0
0.0;-20.0;0.0
0.0;-310.0;0.0
